Name,Description,Est. Value,Rarity,Weight,Category,Properties,Requirements,Author,Rarity Number
Manual of Bodily Health,"A typical manual of bodily health provides the reader with valuable information regarding preventative medicine, basic first aid, and proper muscle toning.",10. gp,Common,1,Book,,Language: Common,BGII,2
Manual of Gainful Exercise,A typical Manual of Gainful Exercise provides the reader with a strictly regimented routine of daily stretches and tests designed to increase muscle bulk. ,10. gp,Common,1,Book,,Language: Common,BGII,2
Manual of Quickness of Action,"A typical manual of quickness of action provides the reader with a wide variety of tips and pointers regarding the motion and coordination of one's hands and feet. This small tome is much in demand by people from many walks of life, including rogues wishing to improve their slight-of-hand and paladins wanting to perfect their thrust and parry. ",10. gp,Common,1,Book,,Language: Common,BGII,2
Masquerade Mask,A masquerade mask crafted of leather and peacock feathers.,12. gp,Common,,Treasure,,,,2
Masterwork Gaming Darts,"With an elegant hinged case of black onyx, the characters find a set of masterwork gaming darts. Although useless for combat, the darts will give a +2 skill check bonus to anyone using them to play a game of darts (due to their superb balance and construction).",,Common,,Treasure,,,,2
Matroshka Seeds,"Within a wooden box carved with pastoral scenes lies a leather purse, and within the purse are a handful of seeds. If these seeds are planted, they will take root and grow into plants of unnatural shape, hue, and life unlike anything seen upon this world, and operating by utterly alien principles.",100. gp,Common,1,Treasure,,,,2
Medicinal Herbs,A cabinet containing 24 glass jars of various medicinal herbs,60. gp,Common,,Treasure,,,,2
Mineral Oil,2 oz bottle of mineral oil,4. gp,Common,n/a,Treasure,,,,2
Moonstone,"Moonstone is an opaque, white feldspar gem polished to a bluish sheen. Old legends say that the sight of a moonstone would cause a lycanthrope to revert to his animal form. Whether or not this is true is unknown as anyone close enough to find out apparently hasn't lived to tell the tale. However moonstones have been used in spells that effect this particular curse.	",50. gp,Common,n/a,Treasure,,,DMG,2
Moonstone Sheath,"A dagger sheath of bronze, set with a small moonstone.",10. gp,Common,1,Treasure,,,PlatypusPal,2
Moradin's Magical Bestiary,A bestiary!,2. gp,Common,1,Book,,Language: Dwarven,,2
Onyx Gemstone,This gemstone has opaque bands of black and white across it's surface.,50. gp,Common,n/a,Treasure,,,DMG,2
Orb Of Venom,Orb of venom-Applies to all of user attacks. Target takes an additional 1d4 poison damage on their next turn.,,Common,,Wondrous Item,,,,2
Orcish Cookbook,"This appears to be a cookbook written by an unnamed Orc. It has some insightful notes on how best to cook Owlbear and a rather unpleasant section on what spices go well with human flesh.
",5. gp,Common,2,Book,,Language: Orc,BGII,2
Potion of Healing,A character who drinks the magical red fluid in this vial regains 2d4 + 2 hit points. Drinking or administering a potion takes an action. ,50. gp,Common,0.5,Potion,,,PHB,2
Pouch,"A cloth or leather pouch that can hold up to 20 sling bullets or 50 blowgun needles, among other things. ",0.5 gp,Common,1,Adventuring Gear,,,PHB,2
Pouch of Healing Potions,A large carry pouch made from the skin of a monkey. Inside are 1d6 Potions of Healing. ,50. gp,Common,0.5,Potion,You regain 2d4 + 2 hit points when you drink these potions. The potion's red liquid glimmers when agitated.,,Uberbeard,2
Sardonyx Gemstone,Bands of white-yellow sard cross the surface of this dark onyx gemstone.,50. gp,Common,n/a,Treasure,,,DMG,2
Scythe,"This weapon is inspired by the common farming implement used to cut swaths of grown hay, but it has a straight handle and a heavier blade. Despite its humble origins, the scythe is recognized as a symbol of death in many cultures because of its use in reaping.
",0.5 gp,Common,5,Weapon,"2d4 Slashing - Heavy, Two-Handed",,D&D Wiki,2
Seimai's Guide to Healing Tonics,A relatively small compendium of information about healing tonics.,20. gp,Common,1,Book,Grants advantage to Medicine checks.,Language: Common,Uberbeard,2
Shandon Gem,"Shandon is another name for natrolite; its slender, colorless crystals yield tiny faceted gems used often in veils and robes in order to capture the beading effect of water glistening upon the material.	",90. gp,Common,n/a,Treasure,,,BGII,2
Skydrop Gem,"Skydrop is the common name given to clear or lightly colored tektite material; fragments of glass of celestial (meteoric) origin, found in the vast shifting sands of Anauroch and other deserts.	",40. gp,Common,n/a,Treasure,,,BGII,2
Spade,"A spade is a simple tool designed for digging soil, the head can be made of any material that can hold its shape, but is most frequently made of metal to facilitate cutting into soil.
",2gp,Common,4,Weapon,1d4 Bludgeoning - Simple,,D&D Wiki,2
Star Diopside Gem,"Star Diopside is the most prized form of a hard, durable gemstone that is rarely found in attractive colours. It is usually too dark for beauty, however mountain and streambed-pebble crystals of a pale green hue make attractive stones such as diopside. When a gem is found that is darker green it can be cut in such a fashion so to produce four- or six-rayed stars.	",95. gp,Common,n/a,Treasure,,,BGII,2
Star Rose Quartz,This gemstone is a polished pink sphere. When viewed at a specific angle with a source of light an asterism (star-effect) is visible across it's surface. ,50. gp,Common,n/a,Treasure,,,DMG,2
Sunstone Gem,"Sunstone is a feldspar jem, closely related to moonstone, and more properly known as oligoclase. Sunstone can be colorless or faintly greenish and of facet grade, but most common by far is its softer (cabochon) variety. This yields gemstones that have bright red or orange spangles (minute crystals) suspended in a nearly colorless background in a parallel fashion, giving the whole a rich golden or redish brown color.	",50. gp,Common,n/a,Treasure,,,BGII,2
Tchazar Gem,"Tchazar is the common name given to aragonite, a straw-yellow gemstone found in elongated, prism-shaped crystal form. It is soft and fragile, and requires skilled cutting to yield faceted gems..	",50. gp,Common,n/a,Treasure,,,BGII,2
The Recipes and Ruminations of One Dradeel of Tethir,The Recipes and Ruminations of One Dradeel of Tethir is a book with food recipes from Dradeel. Even a casual look will inform the reader that he was a wizard with an addled mind.,10. gp,Common,1,Book,,Language: Common,BGII,2
The Three Rules to Poisoncraft,"This tatty old tome is missing a number of pages, leaving whatever the third rule of Poisoncraft was completely unknown. Hopefully you'll manage with the first two, unlike whomever owned this book before you.",40. gp,Common,1,Book,Grants advantage to Alchemy checks.,Language: Common,Uberbeard,2
Tobacco Cask,A small cedar cask of dwarven pipe tobacco.,25. gp,Common,2,Treasure,,,Uberbeard,2
Tome of Clear Thought,"A typical Tome of Clear Thought contains a collection of esoteric and scholarly literature, often involving obscure mathematical or algebraic formulae or the occasional reference to inter-planar biology..",40. gp,Common,1,Book,,Language: Common,BGII,2
Tome of Understanding,"A typical Tome of Understanding contains a sober, if dry analysis of legal battles, historic events, government policies, philosophical treatises and theories of magic and metaphysics.",10. gp,Common,1,Book,Grants advantage to History checks.,Language: Common,BGII,2
Tourmaline Chain,A delicate silver chain set with a tourmaline.,28. gp,Common,n/a,Treasure,,,,2
Unfinished Zircon Gem,"This gemstone has not yet been finished, but even in its unpolished state it's bright cyan gleam is arresting to the eye.",35. gp,Common,n/a,Treasure,,,Uberbeard,2
Unusable Scroll,"A tattered, and sadly unusable, scroll fragment, inscribed with a spell unknown to any living mage.",5. gp,Common,n/a,Treasure,,,,2
Usk Brandy,A five gallon cask of usk brandy.,80. gp,Common,,Treasure,,,,2
Vial of Antitoxin,A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs. ,50. gp,Common,n/a,Adventuring Gear,,,PHB,2
Waterstar Gem,"Waterstar is also called achroite or colourless tourmaline and is rare in the Realms. This stone is riddled with flaws and inclusions and hence only a small portion is fit for cutting.	",80. gp,Common,n/a,Treasure,,,BGII,2
Wooden Wind Chimes,A set of wooden wind chimes which plays a different tune depending upon the direction of the wind which disturbs it.,0.5 gp,Common,1,Mundane,,,,2
Ziose Gemstone,"Ziose is the name given by sages to a particular facet-grade variety of ziosite; a rare mineral that yields cut stones that flash three vivid hues depending on how the light catches them; purple, blue, and red, or purple, green, and red. Very large (fist- or foot-sized) gems are found and are prized for use in pendants and brooches.	",60. gp,Common,n/a,Treasure,,,BGII,2
Zircon Gemstone,"Zircon is a brownish crystal found in igneous (volcanic) rocks. Zircon attains its pale blue shade with heating and cutting (usually facet-cut).	",50. gp,Common,n/a,Treasure,,,DMG,2
Ram's Head Mace,"A silver-headed heavy mace, the head of which is shaped into the likeness of a ram’s head.",90. gp,Common,6,Weapon,,,,2
Random Monster Taxidermy,Random monster taxidermy,,Common,,Treasure,,,,2
Raven Statue,A life-size basalt statue of a raven.,25. gp,Common,,Treasure,,,,2
Replica Castle,"A 3’ square replica of a castle, in wood, complete with ramparts and miniature ballistae and toy soldiers. Scribbled in some spots are notes written in draconic that suggest a plan to assault the castle (“Kill guard here first”, “Murder holes overhead”, Fireball this area”, etc…)",65. gp,Common,120,Treasure,,,,2
Reversible Robes,"Reversible, finely crafted robes",,Common,,Treasure,,,,2
Sledge Hammer,"This large sledge hammer has been cast entirely out of steel. There is a small symbol of a rat moulded into the hammer head, above Dwarvish lettering that indicates the weight.",2. gp,Common,10,Adventuring Gear,,,Uberbeard,2
Dagger,A simple steel dagger with an oak handle and matching leather sheath.,2. gp,Common,1,Weapon,"1d4 Piercing - Simple - Finesse, Light, Thrown - Range: 20/60",,Uberbeard,2
Greatclub,"A huge wooden greatclub, made from an old oak branch that has been carved and sanded into the shape of a large nail, with the narrower end wrapped in leather as a crude handle.",0.2 gp,Common,10,Weapon,1d8 Bludgeoning - Simple - Two-Handed,,Uberbeard,2
Handaxe,A straight wooden handle with a basic steel axe head on one end. It has been balanced well enough to use as a throwing axe.,5. gp,Common,2,Weapon,"1d6 Slashing - Simple - Light, Thrown - Range: 20/60",,Uberbeard,2
Javelin,"A long thin shaft armed with a leaf-shaped head. It has a tassled based, to allow the javelineer to retrieve it after it has been thrown.",0.5 gp,Common,2,Weapon,1d6 Piercing - Simple - Thrown - Range: 30/120,,Uberbeard,2
Light Hammer,A small sledge hammer with a haft made of wood about one and a half feet long.,2. gp,Common,2,Weapon,"1d4 Bludgeoning - Simple - Light, Thrown - Range: 20/60",,Uberbeard,2
Mace,This mace is essentially just a wooden shaft with a flanged iron head mounted on the end.,5. gp,Common,4,Weapon,1d6 Bludgeoning - Simple,,Uberbeard,2
Spear,"One of man's earliest weapons, dating back to the most primitive of times. A simple wooden pole with a steel spearhead on the end.",1. gp,Common,3,Weapon,"1d6 Piercing - Simple - Thrown, Versatile (1d8) - Range: 20/60",,Uberbeard,2
Primitive Hand Axe,A simple handaxe made from a smooth tree branch and a sharp piece of knapped flint. ,0.8 gp,Common,2,Weapon,"1d4 Slashing - Simple - Light, Thrown - Range: 20/60",,Uberbeard,2
Woodcutter's Axe,"A woodcutter's tool of choice for felling trees. Its formidable weight and uneven balancing make it a slow, inefficient weapon.",1. gp,Common,7,Weapon,"1d10 Slashing - Simple - Heavy, Two-Handed",,Uberbeard,2
Acid (Vial),"A round glass container filled with a clear liquid. It has a paper label indicating in common that it contains acid, and to warning not to accidentally break the glass.",25. gp,Common,1,Adventuring Gear,See PHB page 148.,,PHB,2
Abacus,"A basic wooden abacus, designed for merchants and treasurers. It comes with a simple latched case to protect the counting beads from damage. ",2. gp,Common,2,Adventuring Gear,,,Uberbeard,2
Light Crossbow,"An ash crossbow with a wooden shaft. This crossbow has been designed for smaller, foot long bolts, and is a comfortable ranged weapon for any sized creature.",25. gp,Common,5,Weapon,"1d8 Piercing - Loading, Two-Handed - Ammunition (Range: 80/320)",,PHB,2
Dart,"A small, easy to conceal missile weapon. They might not do a lot of damage on their own but when your opponent has three of these embedded in their face before they can get within 10 feet of you they might reconsider the fight.",0.05 gp,Common,0.25,Weapon,1d4 Piercing - Finesse - Thrown (Range: 20/60),,PHB,2
Shortbow,"A small bow used by travelers and adventurers alike for protection. It doesn't do a lot of damage, but it can be used to attack foes from a distance.",25. gp,Common,2,Weapon,"1d6 Piercing - Two-Handed, Ammunition (Range: 80/320)",,PHB,2
Sling,A basic a leather strap with a pouch for holding the missile. The weapon is held by both ends of the strap and twirled around the wielder's head. Note: Always be careful not to knock yourself out.,0.1 gp,Common,n/a,Weapon,1d4 Bludgeoning - Ammunition (Range: 30/120),,PHB,2
The Plaster Sword,"The legendary sword once owned by the Goblin hero ""Stink"", who was also known as the ""Hero of Thyme"" after he slew a greedy Human merchant and stole a wagon of expensive cooking spices. The sword itself appears to be ornate and magical in nature from afar, but when handled it is clear that it is simply a clever replica made out of gypsum and mud that has been painted.",100. gp,Common,2,Weapon,"Due to it's storied history, the sword provides a +2 on any charisma based check when dealing with Goblins. If any attempt to use the sword as a weapon is made, it will break and can not be repaired.",,Uberbeard,2
Boomerang,This throwing weapon was originally used by forest-dwelling Orcs to hunt game. Its unique shape allows it to return after being thrown.,1. gp,Common,1,Weapon,"1d4 Bludgeoning - Thrown (Range: 30/90)
Special: Does not require direct line of sight, due to a curved trajectory. 
If the attack misses, the weapon returns to the thrower's position and can be caught with a free action.",,Uberbeard,2
Combat Boomerang,"This combat boomering does not resembe the conventional ""V"" shape of a normal boomerang and instead has more of a ""tick mark"" shape. One end has a smaller wing which is both thicker and carefully reinforced with metal studs. It can be used as both a ranged weapon as expected, but can also be used in close quarters as a club.",2. gp,Common,2,Weapon,"1d6 Bludgeoning  - Thrown (Range: 30/90)
Special: Does not require direct line of sight, due to a curved trajectory.",Martial Weapon Expertise,Uberbeard,2
Boomerang Sword,A curved sword favored by lizardmen. It can be used to attack directly or can be thrown like a boomerang.,5. gp,Common,2,Weapon,"1d6 Slashing - Thrown (Range: 30/90)
Special: Does not require direct line of sight, due to a curved trajectory.",Martial Weapon Expertise,Uberbeard,2
Glaive,A three bladed disk which can either be used in melee or as a thrown weapon. The circular handle is made from dark wood and has the design of an owl's head in the middle.,25. gp,Common,3,Weapon,"1d4 Slashing - Finesse - Light - Thrown (Range: 30/60)
Special: The weapon returns to the thrower's position after an attack and can be caught with a free action.",Martial Weapon Expertise,D&D Wiki,2
Elven Sword,The ornamentation that adorns this blade is a traditional elven design. It's forged from a very durable and rust-proof metal.,20. gp,Common,3,Weapon,1d8 Slashing - Versatile (1d10),Martial Weapon Expertise,Uberbeard,2
Priest Skeleton,A human skeleton in rotted priest’s robes wearing a ring and necklace. (Electrum ring: 4gp Silver necklace: 3gp),,Common,,Treasure,,,,2
Prism's Copper Goblin,A goblin skull that has been dipped in molten copper. (1gp),1. gp,Common,,Treasure,,,,2
Ring of the Adventurous Limb," If worn on a hand, the entire arm will vanish.  It will return after 24 hours have elapsed.  Roll a d10: 1 - tattoo on arm, 2 - arm injured, 3 - gained a ring, probably a wedding ring, 4 - ring missing, 5-10 - nothing special.  It will have a similar effect on legs.",,Common,n/a,Ring,,,,2
Royal Documents,Collection of documents with traces of royal bloodlines,,Common,n/a,Quest Hook,,,,2
Silver Hand Mirror,A silver hand mirror with mother-of-pearl backing.,28. gp,Common,1,Treasure,,,,2
Fungus Spores,,,Common,n/a,Trap,,,Uberbeard,2
Stabby String,A popular Goblin trap; a 50 ft length of neatly coiled wire that has nails welded onto it at regular intervals. The resulting product can be used either by running it across the floor or by intertwining it along a fence or wall.,20. gp,Common,5,Trap,"Stabby String can be left semi-coiled on the floor, at half it's length, to create difficult terrain. Any creature that attempts to pass over the Stabby String is subject to 1d4 piercing damage.",,Uberbeard,2
Burning Oil,,,Common,1,Trap,,,Uberbeard,2
Pendulum,,,Common,n/a,Treasure,,,Uberbeard,2
A Dungeon of One's Own ,A dusty scroll which contains a political essay written by a witch called Virginia Woolfsblood. The essay delves into the systemic oppression of witches and advocates for the magical education and liberation of women in general.,30. gp,Common,1,Book,,Language: Common,Uberbeard,2
Amethyst,"A common, bright purple gemstone.",50. gp,Common,n/a,Treasure,,,Uberbeard,2
Bagpipe of Invisibility,A wind instrument consisting of a reed melody pipe and from one to five drones with air supplied continuously either by a bag with valve-stopped mouth tube or by bellows. The bag itself is patterned in red and blue.,,Uncommon,,Wondrous Item,Renders the user invisible whilst the bagpipes are being played.,Requires Attunement,/u/dustybullets,3
Blank Contract,"A contract with blank parts. Can be modified into any sort of deal you wish. The first party to break the contract is blasted with a beam from above (d12, ignore armour) and the contract dissolves into shredded parchment. ",,Uncommon,,Wondrous Item,,,,3
Devil Salts,"Awakens any creature from sleep or unconsciousness, but they flail and scream in terror for a few seconds first. They have no memory of this afterwards. ",,Uncommon,,Wondrous Item,,,,3
Neverfull Waterskin,Neverfull Waterskin (It's always half empty.),200. gp,Uncommon,1,Wondrous Item,,,,3
Obsidian Dolphin,An obsidian figurine of a dolphin which is always wet to the touch.,,Uncommon,,Treasure,,,,3
Old Guard's Note,"Within a rotten pouch found upon the body of a long dead soldier is a parchment with an unbroken seal. If the seal is broken and the message read, it warns its would-be recipient to guard against an eminent betrayal.",,Uncommon,,Quest Hook,,,,3
Ornate Abacus,"An abacus with counting beads made of ivory, silver, gold, and vitrified eye balls.",120. gp,Uncommon,2,Treasure,,,Unknown,3
Ornate Rapier,"A rapier in an ornate, electrum-trimmed steel scabbard worked in swirl-patterns. ",65. gp,Uncommon,2,Weapon,1d8 Piercing - Martial - Finesse,,,3
Porcelain Discs,"One hundred and sixteen 3” white porcelain discs, each has a 1 ounce knob of electrum embedded in its center",,Uncommon,,Treasure,,,,3
1d20 Ammunition +1,"You have a bonus to attack and damage rolls made with this piece of magic ammunition. The bonus is determined by the rarity of the ammunition. Once it hit a target, the ammunition is no longer magical. Value listed is for individual units.",25. gp,Uncommon,n/a,Weapon,,,DMG,3
Adamantine Armor,"This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit. ",500. gp,Uncommon,20 - 60,Armor,"Medium, Heavy (Not Hide)",,DMG,3
Alchemy Jug,"This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty. You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named. Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn. ","6,000. gp",Uncommon,1,Wondrous Item,,,DMG,3
Allmagic Scrolls,"These pieces of unweatherd, thick parchment are lined by a thin string of gold woven into the paper. To anyone who cannot read magic, they are always blank and featureless. However, someone who can read magic realizes that these scrolls can contain spell charges—of ANY type of spell, rather than just Arcane. Paladins, Clerics, and Druids, rejoice! Two charges of the spell must be spent to write one to the scroll, and some scrolls might be found with magic already written to them. These scrolls, once written to, can be cast free of charge—but the scroll is consumed in the process. Store those odd utility spells on Allmagic Scrolls, and never waste an unused daily charge again!",150. gp,Uncommon,n/a,,,,/u/LittleDizzleDaGusha,3
Amber Gemstone,An amber gemstone of watery gold colouring. It has been polished so that you can see a small petrified leaf suspended inside.,100. gp,Uncommon,n/a,Treasure,,,DMG,3
Amethyst Drinking Cup,An ornate cup fashioned out of a deep purple Amethyst. This material was probably chosen as many believe it to prevent intoxication.,100. gp,Uncommon,n/a,Treasure,,,DMG,3
Amulet of Proof Against Detection and Location,"While wearing this amulet, you are hidden from divination magic. You can't be targeted by such magic or perceived through magical scrying sensors. ","20,000. gp",Uncommon,n/a,Wondrous Item,,Requires Attunement,DMG,3
Ancient Coins,"A cache of ancient coins left from the elder days of the world and made by a civilization utterly alien to the values of today: They are carved from bloodstone, moonstone, and jacinth – with unknown faces and unreadable runes decorating their surface.",50. gp,Uncommon,n/a,Treasure,,,PlatypusPal,3
Ancient Gold Cube,Ancient gold cube – quite encumbering.,200. gp,Uncommon,40,Treasure,,,PlatypusPal,3
Ancient Mummy,"An ancient mummy which was given full burial rites and laid within a stately sarcophagus. Arranged on five pedestals around the sarcophagus are the canopic jars in which the mummy’s vital organs were placed. Although the mummy is not of the undead, opening these jars will reveal that its organs continue to function: The heart beats, the lungs fill with air and empty again, and so forth.",0. gp,Uncommon,n/a,Treasure,,,PlatypusPal,3
Ancient Wand Box,"A collection case holding fifty spent wands – crafted by the finest craftsman and enchanted by the mightiest wizards of a bygone age, but now reduced to mere wood, bone, and glass.",40. gp,Uncommon,1,Treasure,,,PlatypusPal,3
Animal Figurines,A small box of turquoise animal figurines.,250. gp,Uncommon,1,Treasure,,,DMG,3
Anthracite Chair,"In this room of the dungeon, there is an elaborate arm chair carved entirely of a single piece of coal. It has been inlaid with silver runes that age has rendered unreadable.",80. gp,Uncommon,60,Treasure,,,PlatypusPal,3
Armageddon Diorama,"A tiny diorama made of oak and silver, depicting a prophecy of the last days of the world in vivid detail.",80. gp,Uncommon,20,Treasure,,,PlatypusPal,3
Armentarious' Scroll Tube,A very large scroll tube containing the plans for many of the ancient war engines of Armentarious.,100. gp,Uncommon,1,Book,,Language: Common,PlatypusPal,3
Astrologer's Chart,"An astrologer’s chart, inscribed with the finest instruments and the greatest precision upon a vellum which is both supple and expensive. Close inspection by those with the proper knowledge, however, reveals that these charts were constructed around an entirely different night sky – and, possibly, a calendrical system and length of year unlike anything known upon this world.",100. gp,Uncommon,n/a,Treasure,,,PlatypusPal,3
Aumurille's Chest,"A miniature golden chest with tiny emeralds lining the top that trace out a mage’s sigil. The chest is crafted in exquisite detail. (This is the material component of a “Secret Chest” (from the spell of the same name) for the ruthless lady-mage Aumurille, who will likely want it back....)",75. gp,Uncommon,5,Treasure,,,PlatypusPal,3
Bag of Holding,"This bag has an interior space considerably larger than its outside dimensions, roughly 2 feet in diameter at the mouth and 4 feet deep. The bag can hold up to 500 pounds, not exceeding a volume of 64 cubic feet. The bag weighs 15 pounds, regardless of its contents. Retrieving an item from the bag requires an action. If the bag is overloaded, pierced, or torn, it ruptures and is destroyed, and its contents are scattered in the Astral Plane. If the bag is turned inside out, its contents spill forth, unharmed, but the bag must be put right before it can be used again. Breathing creatures inside the bag can survive up to a number of minutes equal to 10 divided by the number of creatures (minimum 1 minute), after which time they begin to suffocate. Placing a bag of holding inside an extradimensional space created by a Heward's handy haversack, portable hole, or similar item instantly destroys both items and opens a gate to the Astral Plane. The gate originates where the one item was placed inside the other. Any creature within 10 feet of the gate is sucked through it to a random location on the Astral Plane. The gate then closes. The gate is one-way only and can't be reopened. ","4,000. gp",Uncommon,15,Wondrous Item,,,DMG,3
Bag of Saffron,"A small bag of saffron. It can be used to flavor the parties travel rations, but is probably more valuable as a trade good.",22. gp,Uncommon,n/a,Treasure,,,Uberbeard,3
"Bag of Tricks, Grey","This ordinary gray cloth bag appears to be empty. Reaching inside the bag, however, reveals the presence of a small, fuzzy object. You can use an action to pull the fuzzy object from the bag and throw it up to 20 feet. When the object lands, it transforms into a creature you determine by rolling a d8 and consulting the table that corresponds to the bag’s color. The creature vanishes at the next dawn or when it is reduced to 0 hit points. The creature is friendly to you and your companions, and it acts on your turn. You can use a bonus action to command how the creature moves and what action it takes on its next turn, or to give it general orders, such as to attack your enemies. In the absence of such orders, the creature acts in a fashion appropriate to its nature. Once three fuzzy objects have been pulled from the bag, the bag cannot be used again until the next dawn.



",900. gp,Uncommon,0.5,Wondrous Item,,,DMG,3
Bat Sack,Witch’s Mad Sack of Bats – releases swarm of bats,300. gp,Uncommon,1,Wondrous Item,,,PlatypusPal,3
Battle Banner,"A famous battle banner, long lost, smells badly",200. gp,Uncommon,10,Treasure,,,Uberbeard,3
Bear Claw Boots,"A pair of dark leather boots upon which a curious gnomish mechanism has been fastened around. There is a small lever on the side of the ankle that, when toggled, extends on each boot a set of sharp mountaineering claws. The boots are sized for medium humanoid but the mechanism itself would be easy enough for a blacksmith to scale up or down.",300. gp,Uncommon,4,Wondrous Item,The mountaineering claws provide a +2 circumstance bonus to climb checks. This bonus can be used in addition to a Climber's Kit.,,Uberbeard,3
Behir Horn,A stoppered behir horn containing 300 gp worth of powdered electrum,300. gp,Uncommon,4,Treasure,,,Uberbeard,3
Belt of the Shippey,"A dark, water-worn leather belt embossed with an intricate seascape all around its girth. It has a polished golden buckle, as well as the name “Jadmek” carved into the front. It confers a +2 bonus to all Use Rope checks, as well as a +2 bonus to knowledge of anything maritime. Any encounter with pirates or seafaring merchants might prove interesting if the NPCs spot this belt.",220. gp,Uncommon,1,,,,/u/LittleDizzleDaGusha,3
Bird Cage,An antique golden bird cage with an electrum filigree.,250. gp,Uncommon,10,Treasure,,,DMG,3
Black Lotus Pollen,Four half-pound bricks of compressed Black Lotus pollen,400. gp,Uncommon,2,Treasure,Potent poison. Very valuable to...the right people.,,PlatypusPal,3
Black Mountain Stout Recipe,"A 1’ x 3’ bronze plate bearing the ancient, and secret recipe for Black Mountain Stout",,Uncommon,n/a,Treasure,,,PlatypusPal,3
Blood Waterskin,Waterskin of lamb’s blood,0.2 gp,Uncommon,1,Treasure,,,,3
Blue Dragon Figurine,"A finely crafted figurine of a blue dragon, rampant, done in wood and painted. ",0.6 gp,Uncommon,n/a,Treasure,,,,3
Boots of Elvenkind,"While you wear these boots, your steps make no sound, regardless of the surface you are moving across. You also have advantage on Dexterity (Stealth) checks that rely on moving silently. ","2,500. gp",Uncommon,1,Wondrous Item,,,DMG,3
Boots of Striding and Springing,A pair of tan boots which are fastened around the foot with three adjustable belts. The inner sole of these boots feels springy to the touch and seems to mould itself around the user's foot for a fit so comfortable it's like walking on the clouds.,"5,000. gp",Uncommon,1,Wondrous Item,"While you wear these boots, your walking speed becomes 30 feet, unless your walking speed is higher, and your speed isn't reduced if you are encumbered or wearing heavy armor. In addition, you can jump three times the normal distance, though you can't jump farther than your remaining movement would allow.",Requires Attunement,DMG,3
Boots of the Winterlands,"A pair of hide boots lined with dense, warm white fur. The eyelet for each bootlace is patterned with small gemstones and the sole of the boot is spiked so as to benefit the user over icy and unstable terrain. These furred boots are snug and feel quite warm. ","2,500. gp",Uncommon,1,Wondrous Item,See DMG page 156.,Requires Attunement,DMG,3
Box o' Diseases,An ornate box containing corked vials of different diseases,,Uncommon,1,Wondrous Item,,,,3
Box of Evil Miniatures,"A collection of humanoid figurines, each poised in an unspeakable act of evil. They are packed in box which has been wrapped in lamb’s wool.",30. gp,Uncommon,1,Treasure,,,,3
Bracers of Archery,"While wearing these bracers, you have proficiency with the longbow and shortbow, and you gain a +2 bonus to damage rolls on ranged attacks made with such weapons.","1,500. gp",Uncommon,1,Wondrous Item,,Requires Attunement,DMG,3
Bracers of Binding,"The bracers appear to be Bracers of Specialization, but when donned, bind the wearer wrists together, making it quite difficult to wield a weapon or cast a spell. These bracers are sometimes offered as rewards for services rendered by the Drow. The recipient, believing them to be very powerful, will often don them before examinating them. At this point, the drow find it amusing to conjure a hook horror.	",300. gp,Uncommon,n/a,Wondrous Item,"lower damage by 5 points, increase spell failure to 75% and give the wearer a +5 penalty to THACO. Since they are cursed, they can't be unequiped without a Remove Curse spell or the services of a priest",,BGII,3
Brass Dragon Egg,"A delicate brass dragon egg; hollowed out and painted into a seascape, resting on a wooden stand.",35. gp,Uncommon,1,Treasure,,,,3
Brass Mug,A plain brass mug with a surprisingly ornate jade inlay.,250. gp,Uncommon,1,Treasure,,,DMG,3
Bronze Caltrops,A cask full of bronze caltrops.,3. gp,Uncommon,6,Treasure,,,,3
Bronze Crown,"An old bronze crown, once inlaid with gemstones. They have since been picked out, but the crown itself is wonderfully cast.",250. gp,Uncommon,1,Treasure,,,DMG,3
Brooch of Shielding,"While wearing this brooch, you have resistance to force damage, and you have immunity to damage from the magic missile spell.
","7,500. gp",Uncommon,n/a,Wondrous Item,,Requires Attunement,DMG,3
Broom of Flying,"This wooden broom functions like a mundane broom until you stand astride it and speak its command word. It then hovers beneath you and can be ridden in the air. The broom stops hovering when you land. You can send the broom to travel alone to a destination within 1 mile of you if you speak the command word, name the location, and are familiar with that place. The broom comes back to you when you speak another command word, provided that the broom is still within 1 mile of you. ","8,000. gp",Uncommon,3,Wondrous Item,"It has a flying speed of 50 feet. It can carry up to 400 pounds, but its flying speed becomes 30 feet while carrying over 200 pounds. ",,DMG,3
Bull's Head Ring,A silver ring shaped into the likeness of a bull’s head.,10. gp,Uncommon,n/a,Ring,,,,3
Bullette Horn Barding,A complete barding for a war horse made of Bullette horn plates.,,Uncommon,40,Treasure,,,,3
